,lat,lon,alt,crs,hac,vac,spd,dst,t
100.0,42.413961,-71.076363,5.493435,15.46875,5.0,3.0,14.6,0.0,1510239194000
101.0,42.41409,-71.076319,5.492275,17.226562,5.0,3.0,14.53,0.0,1510239195000
102.0,42.414217,-71.07627,5.589687,17.226562,5.0,3.0,14.49,0.0,1510239196000
103.0,42.41435,-71.076223,5.839901,16.875,5.0,3.0,14.39,0.0,1510239197000
104.0,42.414471,-71.076178,6.376278,16.875,5.0,3.0,14.36,0.0,1510239198000
105.0,42.414598,-71.076129,6.085079,16.523438,5.0,3.0,14.37,0.0,1510239199000
106.0,42.414723,-71.076081,5.721188,16.171875,5.0,3.0,14.48,0.0,1510239200000
107.0,42.414845,-71.076032,5.474819,16.171875,5.0,3.0,14.24,0.0,1510239201000
108.0,42.414972,-71.075985,5.317562,15.820312,5.0,3.0,14.44,0.0,1510239202000
109.0,42.415099,-71.075934,5.143276,16.171875,5.0,3.0,14.32,0.0,1510239203000
110.0,42.415226,-71.075884,5.067959,16.171875,5.0,3.0,14.19,0.0,1510239204000
111.0,42.415343,-71.07584,4.607906,15.820312,5.0,3.0,14.22,0.0,1510239205000
112.0,42.415473,-71.075792,4.644802,14.0625,5.0,3.0,14.36,0.0,1510239206000
113.0,42.4156,-71.075757,4.478024,10.195312,5.0,3.0,14.7,0.0,1510239207000
114.0,42.415725,-71.075729,4.416714,7.382812,5.0,3.0,14.82,0.0,1510239208000
115.0,42.415863,-71.075706,4.416744,3.164062,5.0,3.0,14.92,0.0,1510239209000
116.0,42.415993,-71.075692,4.457882,359.648438,5.0,3.0,14.85,0.0,1510239210000
117.0,42.416123,-71.07569,4.599026,357.539062,5.0,3.0,14.77,0.0,1510239211000
118.0,42.416252,-71.075694,5.00555,357.1875,5.0,3.0,14.74,0.0,1510239212000
119.0,42.416385,-71.075698,5.44067,357.539062,5.0,3.0,14.57,0.0,1510239213000
120.0,42.416506,-71.075703,5.25848,357.890625,5.0,3.0,14.08,0.0,1510239214000
121.0,42.416639,-71.0757,4.996639,358.945312,5.0,3.0,14.53,0.0,1510239215000
122.0,42.416768,-71.075693,4.932369,359.296875,5.0,3.0,14.25,0.0,1510239216000
123.0,42.416894,-71.075696,4.645657,359.296875,5.0,3.0,13.84,0.0,1510239217000
124.0,42.417014,-71.075695,4.538448,0.0,5.0,3.0,12.98,0.0,1510239218000
125.0,42.417118,-71.075695,4.653469,0.351562,5.0,3.0,11.91,0.0,1510239219000
126.0,42.417216,-71.075693,4.541164,0.351562,5.0,3.0,10.92,0.0,1510239220000
127.0,42.417309,-71.075691,4.277767,0.0,5.0,3.0,9.63,0.0,1510239221000
128.0,42.417381,-71.075686,4.124386,0.0,5.0,3.0,8.35,0.0,1510239222000
129.0,42.417439,-71.075684,4.66058,0.0,5.0,3.0,6.52,0.0,1510239223000
130.0,42.417481,-71.075682,4.491573,0.0,5.0,3.0,4.57,0.0,1510239224000
131.0,42.417508,-71.075683,4.090542,0.351562,5.0,3.0,2.58,0.0,1510239225000
132.0,42.417516,-71.075679,3.889523,0.351562,5.0,3.0,1.12,0.0,1510239226000
133.0,42.417516,-71.075677,3.906734,0.351562,5.0,3.0,0.3,0.0,1510239227000
134.0,42.417516,-71.075677,3.591305,0.703125,5.0,3.0,0.0,0.0,1510239228000
135.0,42.417516,-71.075677,3.356808,0.703125,5.0,3.0,0.0,0.0,1510239229000
136.0,42.417516,-71.075677,3.408718,0.703125,5.0,3.0,0.0,0.0,1510239230000
137.0,42.417516,-71.075677,3.366604,0.703125,5.0,3.0,0.0,0.0,1510239231000
138.0,42.417516,-71.075677,3.236721,0.703125,5.0,3.0,0.0,0.0,1510239232000
139.0,42.417516,-71.075677,3.199276,0.703125,5.0,3.0,0.0,0.0,1510239233000
140.0,42.417516,-71.075677,3.230984,0.703125,5.0,3.0,0.0,0.0,1510239234000
141.0,42.417516,-71.075677,3.138943,0.703125,5.0,3.0,0.0,0.0,1510239235000
142.0,42.417516,-71.075677,3.261654,0.703125,5.0,3.0,0.0,0.0,1510239236000
143.0,42.417516,-71.075677,3.203671,0.703125,5.0,3.0,0.0,0.0,1510239237000
144.0,42.417516,-71.075677,3.001308,0.703125,5.0,3.0,0.0,0.0,1510239238000
145.0,42.417516,-71.075677,3.048,0.703125,5.0,3.0,0.0,0.0,1510239239000
146.0,42.417516,-71.075677,3.104519,1.054688,5.0,3.0,0.0,0.0,1510239240000
147.0,42.417516,-71.075677,3.073055,1.054688,5.0,3.0,0.0,0.0,1510239241000
148.0,42.417516,-71.075677,3.088589,1.054688,5.0,3.0,0.0,0.0,1510239242000
149.0,42.417516,-71.075677,3.05566,1.054688,5.0,3.0,0.0,0.0,1510239243000
150.0,42.417516,-71.075677,3.012356,1.054688,5.0,3.0,0.0,0.0,1510239244000
151.0,42.417516,-71.075677,3.001492,1.054688,5.0,3.0,0.0,0.0,1510239245000
152.0,42.417516,-71.075677,3.007412,1.054688,5.0,3.0,0.0,0.0,1510239246000
153.0,42.417516,-71.075677,3.014889,1.054688,5.0,3.0,0.0,0.0,1510239247000
154.0,42.417516,-71.075677,2.981716,1.054688,5.0,3.0,0.0,0.0,1510239248000
155.0,42.417516,-71.075677,3.01907,1.054688,5.0,3.0,0.0,0.0,1510239249000
156.0,42.417516,-71.075677,3.098873,1.054688,5.0,3.0,0.0,0.0,1510239250000
157.0,42.417516,-71.075677,3.190029,1.054688,5.0,4.0,0.0,0.0,1510239251000
158.0,42.417516,-71.075677,3.251919,1.054688,5.0,4.0,0.0,0.0,1510239252000
159.0,42.417516,-71.075677,3.258602,1.054688,5.0,4.0,0.0,0.0,1510239253000
160.0,42.417516,-71.075677,3.326565,1.054688,5.0,4.0,0.0,0.0,1510239254000
161.0,42.417516,-71.075677,3.338253,1.054688,5.0,4.0,0.0,0.0,1510239255000
162.0,42.417516,-71.075677,3.361324,1.054688,5.0,4.0,0.0,0.0,1510239256000
163.0,42.417516,-71.075677,3.339321,1.054688,5.0,4.0,0.0,0.0,1510239257000
164.0,42.417516,-71.075677,3.362484,1.054688,5.0,4.0,0.0,0.0,1510239258000
165.0,42.417516,-71.075677,3.349148,1.054688,5.0,4.0,0.0,0.0,1510239259000
166.0,42.417516,-71.075677,3.321377,1.054688,5.0,4.0,0.0,0.0,1510239260000
167.0,42.417516,-71.075677,3.377956,1.054688,5.0,4.0,0.0,0.0,1510239261000
168.0,42.417516,-71.075677,3.27499,1.054688,5.0,4.0,0.0,0.0,1510239262000
169.0,42.417516,-71.075677,3.367794,1.054688,5.0,4.0,0.0,0.0,1510239263000
170.0,42.417516,-71.075677,3.364529,1.054688,5.0,4.0,0.0,0.0,1510239264000
171.0,42.417516,-71.075677,3.38525,1.054688,5.0,4.0,0.0,0.0,1510239265000
172.0,42.417516,-71.075677,3.316311,1.054688,5.0,4.0,0.0,0.0,1510239266000
173.0,42.417516,-71.075677,3.364071,1.054688,5.0,4.0,0.0,0.0,1510239267000
174.0,42.417516,-71.075677,3.470486,1.054688,5.0,4.0,0.0,0.0,1510239268000
175.0,42.417516,-71.075677,3.497494,1.054688,5.0,4.0,0.0,0.0,1510239269000
176.0,42.417516,-71.075677,3.352322,1.054688,5.0,4.0,0.0,0.0,1510239270000
177.0,42.417516,-71.075677,3.321835,1.054688,5.0,4.0,0.0,0.0,1510239271000
178.0,42.417516,-71.075677,3.392788,1.054688,5.0,4.0,0.0,0.0,1510239272000
179.0,42.417516,-71.075677,3.338833,1.054688,5.0,4.0,0.0,0.0,1510239273000
180.0,42.417516,-71.075677,3.373745,1.054688,5.0,4.0,0.0,0.0,1510239274000
181.0,42.417516,-71.075677,3.381832,1.054688,5.0,4.0,0.0,0.0,1510239275000
181.256,42.417516,-71.075677,3.381832,1.054688,5.0,4.0,0.0,0.0,1510239275256
182.0,42.417516,-71.075677,3.295773,1.054688,5.0,4.0,0.0,0.0,1510239276000
183.0,42.417516,-71.075677,3.363735,1.054688,5.0,4.0,0.0,0.0,1510239277000
184.0,42.417516,-71.075677,3.519161,1.054688,5.0,4.0,0.0,0.0,1510239278000
185.0,42.417516,-71.075677,3.489529,1.054688,5.0,4.0,0.0,0.0,1510239279000
186.0,42.417516,-71.075677,3.47784,1.054688,5.0,4.0,0.0,0.0,1510239280000
187.0,42.417516,-71.075677,3.545681,1.054688,5.0,4.0,0.0,0.0,1510239281000
188.0,42.417516,-71.075677,3.587337,1.054688,5.0,4.0,0.0,0.0,1510239282000
189.0,42.417516,-71.075677,3.546719,1.054688,5.0,4.0,0.0,0.0,1510239283000
190.0,42.417516,-71.075677,3.596279,1.054688,5.0,4.0,0.0,0.0,1510239284000
191.0,42.417516,-71.075677,3.6506,1.054688,5.0,4.0,0.0,0.0,1510239285000
192.0,42.417516,-71.075677,3.668606,1.054688,5.0,4.0,0.0,0.0,1510239286000
193.0,42.417516,-71.075677,3.678219,1.054688,5.0,4.0,0.0,0.0,1510239287000
194.0,42.417516,-71.075677,3.57217,1.054688,5.0,4.0,0.0,0.0,1510239288000
195.0,42.417516,-71.075677,3.592648,1.054688,5.0,4.0,0.0,0.0,1510239289000
196.0,42.417516,-71.075677,3.634518,1.054688,5.0,4.0,0.0,0.0,1510239290000
197.0,42.417516,-71.075677,3.643856,1.054688,5.0,4.0,0.0,0.0,1510239291000
198.0,42.417516,-71.075677,3.595791,1.054688,5.0,4.0,0.0,0.0,1510239292000
199.0,42.417516,-71.075677,3.592525,1.054688,5.0,4.0,0.0,0.0,1510239293000
