,x,y,z
3.33,-0.002087,-0.2953004,-0.9568602
3.34,0.0048494,-0.2908386,-0.9503542
3.35,0.003055,-0.2878416,-0.9409732
3.36,-0.002225,-0.2895964,-0.9461882
3.37,-0.0029724,-0.2941892,-0.9554108
3.38,0.0030522,-0.2931088,-0.9534946
3.39,0.000461,-0.2879396,-0.9451812
3.4,-0.0030978,-0.2873348,-0.9441258
3.41,-0.0039096,-0.2949736,-0.9554232
3.42,0.0020444,-0.2948516,-0.9550692
3.43,0.0039584,-0.287277,-0.9452788
3.44,-0.0035672,-0.28486,-0.9434508
3.45,-0.0059814,-0.29035,-0.9497164
3.46,-0.0014192,-0.2943146,-0.9603364
3.47,0.0055144,-0.292444,-0.9520504
3.48,0.0024656,-0.2858152,-0.942871
3.49,-0.00479155555556,-0.288917111111,-0.945743222222
3.5,-0.0034757,-0.2940204,-0.9568285
3.51,0.0035707,-0.2925798,-0.954146
3.52,0.0044401,-0.2885929,-0.946384
3.53,-0.0021223,-0.2902958,-0.9467701
3.54,-0.0043322,-0.2959506,-0.9530337
3.55,0.0012281,-0.2933306,-0.9556426
3.56,0.002641,-0.2867525,-0.9460527
3.57,0.0007722,-0.2871812,-0.9429411
3.58,-0.0037109,-0.2907349,-0.9506163
3.59,-5.79e-05,-0.2935396,-0.9570632
3.6,0.0053651,-0.2922256,-0.9528183
3.61,0.0001782,-0.2879274,-0.9429185
3.62,-0.0045107,-0.2888719,-0.9446552
3.63,-0.0028138,-0.2916734,-0.955576
3.64,0.0044953,-0.2904925,-0.9548815
3.65,0.0033398,-0.2859616,-0.9476623
3.66,-0.0027347,-0.2885648,-0.9490236
3.67,-0.0026919,-0.2933657,-0.9529507
3.68,0.0013808,-0.2937378,-0.9551314
3.69,0.0052767,-0.2886443,-0.9476822
3.7,0.001184,-0.2865374,-0.942314
3.71,-0.0028855,-0.2895909,-0.9494263
3.72,-0.0014742,-0.29323,-0.9568235
3.73,0.0034131,-0.2917542,-0.9523089
3.74,0.0008193,-0.2851121,-0.9432376
3.75,-0.0033083,-0.2892119,-0.9485096
3.76,-0.0004091,-0.297694,-0.9567827
3.77,0.00566066666667,-0.294514666667,-0.954956
3.78,0.0029996,-0.2857968,-0.9442504
3.79,-0.002518,-0.2862302,-0.943671
3.8,-0.0029604,-0.292465,-0.9527864
3.81,0.0023742,-0.2935912,-0.9577788
3.82,0.0061434,-0.290381,-0.9514588
3.83,0.0004852,-0.287286,-0.944318
3.84,-0.004715,-0.2901458,-0.9497256
3.85,-0.0018704,-0.2937776,-0.9593232
3.86,0.0032564,-0.2911528,-0.953928
3.87,0.0020294,-0.2872774,-0.9435274
3.88,-0.0013702,-0.2895814,-0.9459654
3.89,-0.002524,-0.2938048,-0.954373
3.9,0.0016754,-0.292575,-0.9541042
3.91,0.003229,-0.2881866,-0.9470852
3.92,-0.0015502,-0.2869138,-0.9449736
